Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33751713,07/03/2016 04:14:54 PM,07/03/2016 06:04:40 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10035,320 PLEASANT AVENUE,PLEASANT AVENUE,EAST 117 STREET,EAST 118 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/04/2016 12:14:54 AM,07/03/2016 06:04:40 PM,11 MANHATTAN,MANHATTAN,1002917,229224,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79582325417008,-73.93258145057241,"(40.79582325417008, -73.93258145057241)"
33751800,07/03/2016 08:31:30 PM,07/03/2016 08:49:30 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11432,,,,,88 AVENUE,169 STREET,INTERSECTION,JAMAICA,,Precinct,Closed,07/04/2016 04:31:30 AM,07/03/2016 08:49:30 PM,12 QUEENS,QUEENS,1041743,198016,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70999813747945,-73.7926229605343,"(40.70999813747945, -73.7926229605343)"
33752522,07/03/2016 11:09:28 PM,07/04/2016 01:00:31 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11418,,,,,126 STREET,JAMAICA AVENUE,INTERSECTION,RICHMOND HILL,,Precinct,Closed,07/04/2016 07:09:28 AM,07/04/2016 01:00:31 AM,09 QUEENS,QUEENS,1032838,194787,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70118869399326,-73.82476646835885,"(40.70118869399326, -73.82476646835885)"
33752523,07/03/2016 03:52:23 PM,07/03/2016 05:03:55 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11203,,,,,EAST   51 STREET,LINDEN BOULEVARD,INTERSECTION,BROOKLYN,,Precinct,Closed,07/03/2016 11:52:23 PM,07/03/2016 05:02:57 PM,17 BROOKLYN,BROOKLYN,1003786,177504,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65386260910278,-73.9295930708907,"(40.65386260910278, -73.9295930708907)"
33753172,07/05/2016 01:28:07 AM,07/05/2016 02:16:28 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11213,1595 FULTON STREET,FULTON STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/05/2016 09:28:07 AM,07/05/2016 02:16:28 AM,03 BROOKLYN,BROOKLYN,1001746,186921,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.679714438040456,-73.93692070381154,"(40.679714438040456, -73.93692070381154)"
33753176,07/04/2016 08:39:06 PM,07/04/2016 09:16:43 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10040,,,,,AUDUBON AVENUE,WEST  193 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,07/05/2016 04:39:06 AM,07/04/2016 09:16:43 PM,12 MANHATTAN,MANHATTAN,1004482,251234,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85623097012447,-73.92686286090908,"(40.85623097012447, -73.92686286090908)"
33753811,07/04/2016 05:54:58 PM,07/04/2016 07:20:22 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11206,,,,,MESEROLE STREET,LEONARD STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,07/05/2016 01:54:58 AM,07/04/2016 07:20:22 PM,01 BROOKLYN,BROOKLYN,999039,197135,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.707754434750576,-73.94665797344226,"(40.707754434750576, -73.94665797344226)"
33753812,07/04/2016 01:33:37 PM,07/04/2016 03:08:01 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11101,,,,,NORTHERN BOULEVARD,34 AVENUE,INTERSECTION,LONG ISLAND CITY,,Precinct,Closed,07/04/2016 09:33:37 PM,07/04/2016 03:08:01 PM,01 QUEENS,QUEENS,1007948,213873,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75367674714912,-73.91446541921991,"(40.75367674714912, -73.91446541921991)"
33753904,07/04/2016 05:58:47 PM,07/04/2016 06:58:53 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,10306,,,,,PARK STREET,RIEDEL AVENUE,INTERSECTION,STATEN ISLAND,,Precinct,Closed,07/05/2016 01:58:47 AM,07/04/2016 06:58:53 PM,03 STATEN ISLAND,STATEN ISLAND,947902,146973,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57000835240237,-74.13083226585647,"(40.57000835240237, -74.13083226585647)"
33754548,07/04/2016 09:17:55 PM,07/04/2016 11:30:58 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11228,,,,,7 AVENUE,83 STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,07/05/2016 05:17:55 AM,07/04/2016 11:30:58 PM,10 BROOKLYN,BROOKLYN,978614,165417,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62070612878861,-74.02030181706962,"(40.62070612878861, -74.02030181706962)"
